artist_name,track_name,release_date,genre,lyrics
Black Pumas,Colors,2019,retro,"I woke up to the morning sky first Baby blue, just like we rehearsed When I get up off this ground, I shake leaves back down To the brown, brown, brown, brown 'til I’m clean Then I walked where I'd be shaded by the trees By a meadow of green For about a mile I'm headed to town, town, town in style [Chorus: Eric Burton with The Soul Supporters] With all my favorite colors, yes, sir All my favorite colors, right on My sisters and my brothers see ’em like no other All my favorite colors [Post-Chorus: Eric Burton with The Soul Supporters] It's a good day to be, a good day for me A good day to see my favorite colors, colors My sisters and my brothers, they see 'em like no other All my favorite colors [Verse 2: Eric Burton] Now take me to the other side Little bitty blues birds fly In gray clouds, or white walls, or blue skies We gon' fly, feel alright And we gon', ooh-ooh, ooh-ooh, ooh-ooh, ooh, yeah They sound like ooh-ooh, ooh-ooh, ooh-ooh, ooh, yeah And the least I can say, I anticipate A homecome parade as we renegade in the morning, right on You might also like[Chorus: Eric Burton with The Soul Supporters] With all my favorite colors, yes, sir All my favorite colors, yes, ma'am My sisters and my brothers see 'em like no other All my favorite colors Ha, oh [Instrumental Break] Closer, ooh Love machine [Chorus: Eric Burton with The Soul Supporters] All my favorite colors, right All my favorite colors, yes, ma'am My sisters and my brothers see ’em like no other All my favorite colors [Post-Chorus: Eric Burton with The Soul Supporters] It’s a good day to be, a good day for me A good day to see my favorite colors, colors My sisters and my brothers, they see 'em like no other All my favorite colors16Embed"
The Dip,Sure Don't Miss You,2019,retro,"But I sure don't miss you right now I was blue as a man could be When you left me But I sure don't miss you right now It took me awhile To get back on my feet It took me awhile To smile again I was ashamed that I could ever be so weak But I love you girl Yes I did Someday I might miss you But I sure don't miss you right now I was blue as a man could be When you left me But I sure don't miss you right now When you put me down I was All torn up Sure enough Crying every night When I was eatin life And everything feels so new Finally got over you You might also likeSomeday I might miss you But I sure don't miss you right now I was blue as a man could be When you left me But I sure don't miss you right now Some nights I start to feel real weak I get so low and down I can hardly sleep But I know this too shall pass And at last I don't miss you, baby Someday I might miss you But I sure don't miss you right now I was blue as a man could be When you left me But I sure don't miss you right now Someday I might miss you But I sure don't miss you right now I was blue as a man could be When you left me But I sure don't miss you right now2Embed"
St. Paul & The Broken Bones,Call Me,2014,retro,"This ain’t the party that I thought we’d do You got your limit, baby I got mine 611-3369 You got to call me, baby We ain’t the lovers that’ll tear it down We ain’t the fortune all over town You got your limit, baby I have mine 611-3369 You got to call me baby I need you to pick up that telephone And dial this lover’s heartache I need you to call me I need to hear your sweet voice Let me let me let me let me hear you again I need you I need you I need I need you baby I need I need I need I need I need I need you baby I need I need I need I need I need I need you baby I got to get you pick it up that telephone Please please oh baby You got your limit, baby I got mine 611-3369 please oh please baby Pick up that phone You might also likeI need you to pick it up baby I need you to pick it up now baby10Embed"
Los Yesterdays,Nobody's Clown,2021,retro,"I was just a puppet on a string I gave you everything Wish I'd knew your love was untrue That would have saved some soul searching [Chorus] Now I'm nobody's clown, nobody's clown Now I'm nobody's clown, nobody's clown [Verse 2] I'm sorry if I treated you badly I only wanted to love you madly If you came back I'd take you back gladly But that's not going to happen sadly [Chorus] Now I'm nobody's clown, nobody's clown Now I'm nobody's clown, nobody's clown, well, well [Bridge] This ain't my first rodeo But it's my first time being the clown You swore you'd never go But then you left and haven't been back around Ooh, ooh-ooh I was a clown, baby girl I was just a puppet on your string Until you cut me down You might also like[Verse 3] They say a man is supposed to be Strong enough to stand up on his two But they don't understand How it feels to think you found the one and be number two, yeah [Chorus] Now I'm nobody's clown, nobody's clown Now I'm nobody's clown, nobody's clown [Outro] Now I'm nobody's clown, nobody's clown, well, well, well Nobody, nobody, nobody, nobody, nobody wants a clown Somebody, somebody, somebody, somebody, somebody please take this clown1Embed"
The Dip,Atlas,2019,retro,"Heard you coming in the back door at three a.m You spent the night in the hospital sitting next to your best friend Woke up three hours later just to go downtown I've known you long enough to see it's starting to wear you down [Chorus] Don't put the world on your shoulders Cause you know it ain't your load to bear [Verse 2] I ask you how your day was and you muster up a smile I wish you'd take a minute for yourself once and a while You've got a bigger heart than anyone that I have ever known But you got to see it's killing me the way you're carrying on so [Chorus] Don't put the world on your shoulders Cause you know it ain't your load to bear Don't put the world on your shoulders Cause you know it ain't your load to bear alone [Bridge] (Feel the pressure rising) Feel that pressure building up inside of you Don't know what to do, don't know what to do It's too much for one person to hold Or to hold onto You might also like[Chorus] Woah don't put the world on your shoulders Cause you know it ain't your load to bear alone Don't put the world on your shoulders baby Woah it ain't your load to bear (Don't put the world on your shoulders) Don't put the world on your shoulders (Don't put the world on your shoulders) Baby cause it ain't your load to bear (Don't put the world on your shoulders) Don't put the world on your shoulders (Don't put the world on your shoulders) (Don't put the world on your shoulders)Embed"
The Dip,State Line,2015,retro,"Wish I could save you Seems like it shouldn't be so hard Wish I could replace you And maybe we could leave it all behind, oh I wouldn't mind [Chorus] State line is a hundred miles away but (away) I never felt so distant before, woah-oh State line is a hundred miles away but (away) I never felt so distant before, woah-oh [Verse 2] Let me introduce you To all of the ways I can let you down Let me seduce you And maybe we can get this off the ground, and next time around [Chorus] State line is a hundred miles away but (away) I never felt so distant before, woah-oh State line is a hundred miles away but (away) I never felt so distant before, woah-oh [Bridge (instrumental)] [Outro]Embed"
Thee Sinseers,Seems Like,2020,retro,"Word Ya Ride Ya [Verse 1: Oktane] She said what the purpose of Righteous living, we all sinning The snakes feast on the lions killing, we all villains We all take off the mask behind closed doors We all battle our minds, and it’s a cold war I started thinking to myself like really? What’s the purpose? What determines long life, or what’s going to bring you hearses? Doctors say “B” “A” healthy, and they still murk ya Who’s to say whose life is precious and whose life worthless? What bring you coins? What bring you curses? Homeless people got good hearts, and can’t make a purchase I know kills that never had their pockets hurting My family broke, and they don’t ever miss a Sunday service Waving when I see a white man in public But when I see a black man I instantly wanna mug him (Shit) Held the ganja in the ceiling now Trump is tryna comprehend the world I'm in Tell me— [Chorus: Oktane] Who gonna save the sinners Ya Seem like nothing that I try is ever working Heard the places up top is for the people living perfect Tell me who gonna save the sinners For real Too far to drink from the Nile River, so we die of thirst Living life tryna be a winner Tell me who gonna save the sinners You might also like[Bridge: Oktane] As god as my witness, hate is a sickness Forgiveness is love Love is forgiveness Love is forgiveness Let that set in [Verse 2: Oktane] Look No one looks beneath the surface That's why I walk around with dreads, shirtless Working on self While the world dances around Drunk, fronting like there life perfect I never let it get to me Just sinners judging sinners for sinning differently And women using [?] to feel the sympathy And DMing with hate, boo, remember me? Wasted energy I took a ride uptown, and downtown Looking for God Found women just like my ex, pretty facades Got home took a shower, rolled two, smoked one, hit the mirror God said, ""maybe you—"" [Chorus: Oktane] ""Gon' save the sinners"" Hm Seems like nothing that I try is ever working Heard the places up top for all the people living perfect Tell me who gonna save the sinners For real Too far to drink from the Nile River, so we die of thirst Living life tryna be a winner Tell me who gon' save the sinners [Bridge 2: Price] Let me catch the vibe Let me catch the vibe Let me catch the vibe Let me catch the vibe Let me testify Let me testify Let me testify Let me testify [Verse 3: Price & Oktane] Aye Let me catch my vibe before I start, uh See good advice lies within the heart, uh And Price ain't been enlightened from the start, nah But now my spirit is aligning with my heart, go Living and learning, how can you blame us? One false move and lovers turn into strangers What happened to not running away when it’s danger What happened to not getting eaten up by the anger, what happened? Tell me who gon' truly love the naked stripper Tell me who gon' hold the hand that pulled the trigger See I got issues I admit that all my shit ain’t clean My grandpa killed his brother, man, there's anger in my genes That probably why I use to keep a banger in my jeans And why I never ever let a stranger in my team Yeah, do you look at people in their eyes, or through a screen? Everybody want a winner baby [Chorus: Oktane] Who gon' save the sinners Ya Seems like nothing that I try is ever working Heard the places up top is for all the people living perfect Tell me who gonna save the sinners For real Too far to drink from the Nile River, so we die of thirst Living life tryna be a winner Tell me who gonna save the sinners [Outro] Oh, baby [?] Oh, baby That's just [?] [?] Won't judge you Don't love you [?] Oh, baby [?] Oh, baby That's just [?] [?] Won't judge you The Last LightsEmbed"
St. Paul & The Broken Bones,Flow with It (You Got Me Feeling Like),2016,retro,"Is it the way that I move with you Is it the way that my body groove nah Can we persuade our hips to move All of the time inside our room [Chorus] You've got me feeling like I can't hold you We ain't gotta fight Let's flow with it This feeling I have inside [Verse 2] Is it my lips that long for you Is it the heart that's breaking through Can we use all this love we ooze Let's try, but we always confuse it [Chorus] I've got a feeling [Chorus] You've got me feeling like You've got me feeling, you've got me feeling Like I can't hold you, I can't hold you I can't hold you, baby We ain't gonna fight it, ain't gonna fight it anymore Just flow with itYou might also likeEmbed"
Matt Duncan,Beacon,2010,retro,"'Cause everyone I know left town That's the place your day lit dreams go Where you can't see the sun go down Hold your head up, you're a beacon You pull me northward in my car You don't have to hit the big time, baby We know who you are I got friends in LA County Where the hillsides shine like stars And the people float like gold dust Through the red rope district bars Hold your head up, you're a beacon You pull me westward in my car You don't have to hit the big time, baby We know who you are Hold your head up, you're a beacon Don't let them think you've come that far You were always standing in the spotlight, baby We know who you are It's getting cold out on that big lake And the water's painted blue Don't let the skyline fool you, baby You know what to do You know what to do You know what to doYou might also likeEmbed"
Sharon Jones & The Dap-Kings,How Long Do I Have to Wait for You?,2005,retro,"Before a girl like me can move on? Ooh baby, tell me how long do I have to wait for you, honey? Before I can say that you're gone? Every hour seems like a day And every day is like a year And every week is an eternity Well, I get lonely, baby, when you're not here Ooh baby, tell me how long do I have to wait for you, honey? Before a girl like me can move on? Ooh baby, tell me how long do I have to wait for you, honey? Before I can say that you're gone? Won't you let me know, yeah? I'm in an awful state, baby You said you loved me so But I just don't know how long I can wait How long do I have to wait for you, honey? Before I can say that you're gone? I asked your mama, I asked your papa Your friends, your preacher and your boss No one knows where you're going to, baby Or if you're coming back to me Or if we're together or are we lost? You might also likeOoh baby, tell me how long do I have to wait for you, honey? Before a girl like me can move on? Ooh baby, tell me how long do I have to wait for you, honey? Before I can say that you're gone? Won't you let me know, yeah? I'm in an awful state, baby You said you loved me so But I just don't know how long I can wait Oh baby, tell me how long do I have to wait for you, honey? Before a girl like me can move on? Baby, tell me how long do I have to wait for you, honey? Before I can say that you're gone? How, how long do I have to wait for you, honey? Before a girl like me can move on? Baby, how long do I have to wait for you, honey? Before I can say that you're gone? Yeah How long, yeah, baby tell me, how long Do I have to wait for you, honey?1Embed"
